Site,Locality,Order,distance,Qdiag_S,Qval_S,Qval.N,A.SW_hap,Hap.N,Temp_captured,CallDur,CallRate,SUL,HW_sul,HW,RA_sul,RA,FEM_sul,FEM,TIB_sul,TIB,TAR_sul,TAR,FOOT_sul,FOOT,mass,humidity,baro,Height (cm),dB,Lat,Long,State,RiseTime,FallTime,CarrierLength,MinFreq,MaxFreq,DeltaFreq,PeakFreq,CallInterval,AirTemp,ORDER
Choctaw/ Inchworm,A,2,0,0.95695,0.9995,2,0.714285714285714,7,16.2454545454545,0.128927272727273,1.77388119018182,29.1077272727273,0.319108086894714,9.28454545454545,0.205738797606655,5.98318181818182,0.494810212118654,14.3995454545455,0.495316697810045,14.4054545454545,0.306418476423326,8.91863636363637,0.453584573420105,13.2022727272727,1.69090909090909,58.8,989.481818181818,42.7,87.1363636363637,34.12695,-94.74222,OK,0.070527272727273,0.058290909090909,0.000109090909091,2517.89142857143,3434.69714285714,916.805714285714,2959.10545454545,0.662781818181818,21.8636363636364,6
Hwy259a,Ab,1,-1.497654,NA,NA,0,1,1,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,NA,NA,34.1158734,-94.7329458,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Broken Bow/ Okie 1,B,3,2.026344,0.95595,0.9985,2,1,2,16.7,0.1346,1.638705095,28.94,0.328985547297643,9.5125,0.209435697629292,6.07,0.497977951996279,14.42,0.492867202338312,14.26,0.292523781973888,8.465,0.449601691715561,12.99,1.75,65.75,977.85,50.05,95.25,34.1449,-94.74643,OK,0.0746,0.0633,-0.0033,2505.04,3403.98,898.94,2948.42,0.67215,20.65,12.5
Beaver Bend,C,4,4.210914,0.967,0.7824,1,1,5,16.3,0.183533333333333,1.15870238516667,30.1766666666667,0.324269342580248,9.78,0.210155723728699,6.33833333333333,0.482460675933251,14.5558333333333,0.487657909309802,14.7033333333333,0.301705383858114,9.09333333333333,0.445945050033738,13.4491666666667,1.7,66.25,983.916666666667,19.9833333333333,84.8333333333333,34.16263,-94.75796,OK,0.097433333333333,0.0828,0.0033,2397.89333333333,3278.48,880.586666666667,2801.56,0.5773,19.65,16.5
OKie Site 5,D,5,7.292069,0.72945,0.95865,2,0.75,4,15.15,0.15665,1.399435196,29.6025,0.32373043676775,9.58375,0.216117497540038,6.39875,0.484741330091101,14.34125,0.492085688498873,14.55125,0.301549585798085,8.92625,0.436251424397851,12.925,1.85,60.8,980.425,11.35,92.375,34.18603,-94.7771,OK,0.0895,0.0678,-0.00065,2364.82,3277.34,912.52,2826.565,0.644275,20.875,21.5
Cedar Creek,E,6,11.855105,0.57225,0.7409,2,0.25,4,15.74,0.12505,1.45965567425,30.997,0.31353142348283,9.702,0.207459362120731,6.43,0.493420088151615,15.293,0.483753206343995,14.982,0.297982025755086,9.235,0.440880761169896,13.66,1.8,67.42,982.72,30,84.75,34.21894,-94.80796,OK,0.06805,0.05685,0.00015,2253.69,3201.64,947.95,2798.435,0.697475,19.56,25.5
Okie 7,F,7,16.717767,0.65085,0.849775,2,0.625,8,13.5916666666667,0.131316666666667,1.44776642175,28.6833333333333,0.321156682663985,9.20375,0.215511444680852,6.17375,0.491831744487835,14.0895833333333,0.495800471730117,14.2,0.301801297235032,8.64333333333333,0.442870203365333,12.7170833333333,1.63333333333333,68.2916666666667,983.275,25.5825,85.3333333333333,34.26902,-94.80336,OK,0.080033333333333,0.054433333333333,-0.00315,2581.66571428571,3476.92571428571,895.26,3027.34166666667,0.80660625,18.8833333333333,33.5
Rd55001,G,8,19.106877,0.1419,0.091,2,0,8,15.9142857142857,0.156628571428571,1.25074008514286,29.541875,0.31853920735925,9.413125,0.214271113554054,6.329375,0.491308689773511,14.495,0.4965534807983,14.654375,0.303530605106399,8.959375,0.458081461726425,13.535625,1.675,57.7875,981.6125,27.8825,92.2142857142857,34.2815,-94.83428,OK,0.0782,0.074257142857143,0.004171428571429,2424.675,3299.865,875.19,2872.76,0.559614285714286,21.0625,43
Bethel Cutoff/ Sleepy Site,H,9,25.545051,0.0444,0.0035,2,0,7,15.5571428571429,0.150085714285714,1.33015674214286,28.2464285714286,0.327612581523842,9.23214285714286,0.210960022558915,5.95357142857143,0.495792633551657,13.9721428571429,0.487881695163148,13.7328571428571,0.302003308226984,8.49857142857143,0.445668543668412,12.5685714285714,1.58571428571429,64.0857142857143,984.971428571429,20.5714285714286,90.1428571428571,34.3467,-94.82617,OK,0.101171428571429,0.050057142857143,-0.001142857142857,2427.66,3390.41,962.75,2966.51142857143,0.605939285714286,19.7571428571429,50
Okie Site 2,I,10,27.104059,0.02205,0,2,0,9,15.5833333333333,0.19045,1.09581229216667,29.1591666666667,0.332416596382406,9.68375,0.213441572956217,6.21708333333333,0.491105273700131,14.29625,0.493566849158699,14.3725,0.304665214564411,8.875,#VALUE!,13.1172727272727,1.69166666666667,62.5,985.475,58.1727272727273,87.1818181818182,34.36682,-94.79996,OK,0.10345,0.088683333333333,-0.001683333333333,2371.54,3388.34333333333,1016.80333333333,2863.28,0.548913888916667,20.2166666666667,59.5
OKie Site 6 Fence Line,J,11,28.998987,0.0275,0.007,2,0,3,19.7333333333333,0.125733333333333,1.247379578,29.8683333333333,0.327735494125666,9.79166666666667,0.209419500798382,6.25333333333333,0.496677682004944,14.83,0.491263913246754,14.6716666666667,0.298468514431334,8.91333333333333,0.456846323251682,13.6466666666667,1.66666666666667,60.2,984.833333333333,47.8,94.8333333333333,34.37649,-94.83724,OK,0.0652,0.057866666666667,0.002666666666667,2565.83,3469.34,903.51,3021.88666666667,0.541855555666667,21.2666666666667,67
Hwy 278 OK site 4,K,12,31.976547,0.0255,0,2,0,7,14.0285714285714,0.144628571428571,1.32495639242857,30.215,0.322344390841575,9.73142857142857,0.209918819187261,6.34785714285714,0.488174488807158,14.7457142857143,0.485241682027479,14.6571428571429,0.299094331302336,9.03571428571429,0.428138405707997,12.9435714285714,1.64285714285714,68.4857142857143,981.185714285714,15.1142857142857,88.7857142857143,34.41131,-94.68293,OK,0.078085714285714,0.070571428571429,-0.004028571428571,2399.655,3417.355,1017.7,2918.29428571429,0.602421428571429,19.7428571428571,72
Okie Site 3,L,13,65.22557,0.073,0.013,1,0,1,16.6,0.156,1.090591828,29.565,0.318789108743447,9.425,0.21697953661424,6.415,0.463554879079993,13.705,0.474209369186538,14.02,0.289869778454253,8.57,0.414510400811771,12.255,1.6,64.9,986.9,80,93.5,34.50668,-95.28433,OK,0.1032,0.0524,0.0004,2686.56,3632.58,946.02,3243.72,0.8071,19.8,76
